"","username","inputvalue","expected","label","firstlanguage","hearing","environment","equipment","experiment","foreignlanguages","startdate","enddate","url","acc_rating"
"1","VaHe26","z","z","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/ZUfinal_03_NW-normalized.wav",1
"2","VaHe26","s","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SE_02_AJ-normalized.wav",1
"3","VaHe26","s","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SU_02_AJ-normalized.wav",1
"4","VaHe26","s","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SU_05_NW-normalized.wav",1
"5","VaHe26","z","z","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/ZU_02_AJ-normalized.wav",1
"6","VaHe26","s","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SE_01_NW-normalized.wav",1
"7","VaHe26","s","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SU_03_AJ-normalized.wav",1
"8","VaHe26","s","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SU_01_NW-normalized.wav",1
"9","VaHe26","z","z","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/ZA_04_AJ-normalized.wav",1
"10","VaHe26","s","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SE_05_AJ-normalized.wav",1
"11","VaHe26","z","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SU_03_NW-normalized.wav",0
"12","VaHe26","s","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SU_04_AJ-normalized.wav",1
"13","VaHe26","s","s","<p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SA_03_NW-normalized.wav",1
"14","VaHe26","…easy","null","<p>This experiment was…</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/applause.wav",0
"15","VaHe26","Ok, continue","s","<p>Now you will hear ""s"" as in the last sound of ""class.""</p><p>Click on the icon or press the space bar to hear the audio.</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SAfinal_01_AJ-normalized.wav",0
"16","VaHe26","Ok, continue","z","<p>Now you will hear ""z"" as in the last sound of ""booze.""</p><p>Click on the icon or press the space bar to hear the audio.</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/ZUfinal_01_NW-normalized.wav",0
"17","VaHe26","Yes","null","<p>Did you hear a difference?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/ping.wav",0
"18","VaHe26","s","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SEfinal_01_AJ-normalized.wav",1
"19","VaHe26","z","z","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/ZAfinal_01_NW-normalized.wav",1
"20","VaHe26","s","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/SUfinal_01_AJ-normalized.wav",1
"21","VaHe26","z","z","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>",NA,NA,"home","in-ear","Fricatives #2",NA,2021-10-27,2021-10-27,"https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2511340/ZEfinal_01_NW-normalized.wav",1
